Location Number,Location Name,Location ID,Lat,Long,Address,URL
116,Salty Dawg Saloon Homer Alaska,2.41E+14,61.1884251,-149.9121433,"Anchorage, AK",https://www.instagram.com/explore/locations/241273953281061
117,"North Star, Anchorage",1.47E+15,61.18328156,-149.9005748,,https://www.instagram.com/explore/locations/1474611549518630
118,Pop Carr Park,1.45E+14,61.17955768,-149.9005926,4499 Arctic Blvd,https://www.instagram.com/explore/locations/145353978827887
119,The Bear Paw Bar & Grill,1.10E+14,61.18018709,-149.8851845,"190 W Tudor Rd, Anchorage",https://www.instagram.com/explore/locations/109772690746963
120,Willow Crest Elementary,5.56E+14,61.18017197,-149.9031213,"1004 W Tudor Rd, Anchorage, AK ",https://www.instagram.com/explore/locations/555539501256056
121,Papaya Tree,5.17E+14,61.18243898,-149.89748,"Anchorage, Alaska",https://www.instagram.com/explore/locations/517394245418756
122,Chilkoot Charlie's,5.18E+14,61.18233,-149.9302,"Spenard Rd, Anchorage, AK",https://www.instagram.com/explore/locations/518026095381326
123,Century 16 and XD,1.85E+14,61.18909734,-149.8792298,"301 East 36th Ave., Anchorage",https://www.instagram.com/explore/locations/185082731537201
124,The Arctic Rec Center,1.32E+14,61.1765651,-149.8966966,4855 Arctic Blvd,https://www.instagram.com/explore/locations/132410297315516
125,Wasilla Creek Boardwalk Trail,1.00E+14,61.1746334,-149.900253,5990 E Nelson Rd,https://www.instagram.com/explore/locations/100212328447081
126,Anchorage Moose Lodge - LOOM 1534 WOTM 139,6.04E+14,61.18202588,-149.8962638,"4211 Arctic Blvd, Anchorage, Alaska",https://www.instagram.com/explore/locations/603510126496573
127,"Grandview Heights, Anchorage, Alaska",2.43E+14,61.1800055,-149.896102,"Grandview Heights, Anchorage, Alaska",https://www.instagram.com/explore/locations/243441675781565
128,Arctic Blvd & Tudor Rd,4.90E+14,61.18078962,-149.897855,,https://www.instagram.com/explore/locations/490178981493840
129,Downtown Spenard,2.89E+14,61.195373,-149.905427,"Downtown Spenard, Anchorage, Alaska",https://www.instagram.com/explore/locations/288935017874036
130,Koot's,1.69E+15,61.1983035,-149.9046516,2435 Spenard Rd,https://www.instagram.com/explore/locations/1685850205026753
131,My Way Out,1.16E+14,61.187923,-149.897714,"Anchorage, AK",https://www.instagram.com/explore/locations/116126815115655
132,United Physical Therapy,4.36E+14,61.18147782,-149.8964521,"701 Sesame St Ste 101, Anchorage, AK",https://www.instagram.com/explore/locations/435679939962989
133,Mexico Lindo Mini Market,1.55E+15,61.18101,-149.90613,"1201 W Tudor Rd, Anchorage, Alaska",https://www.instagram.com/explore/locations/1545686032144487
134,Ancorage Airport,6.73E+14,61.1819174,-149.8883981,Indian,https://www.instagram.com/explore/locations/673400789408686
135,Point Warnsof,3.75E+14,61.18104458,-149.8495075,,https://www.instagram.com/explore/locations/374836909230484
136,Station 4,1.60E+14,61.18165608,-149.8503901,,https://www.instagram.com/explore/locations/159947984021003
137,"University Park, Anchorage, Alaska",2.89E+14,61.18293854,-149.8466464,E 42nd Ave,https://www.instagram.com/explore/locations/289159217866877
138,Waldron Lake,1.51E+14,61.17817361,-149.8488769,,https://www.instagram.com/explore/locations/150517108293191
139,"Lake Otis Park, Anchorage, Alaska",5.35E+14,61.18666458,-149.8513121,,https://www.instagram.com/explore/locations/535148339832825
140,Wickersham Park,1.10E+14,61.17650855,-149.8458416,,https://www.instagram.com/explore/locations/110478249006191
141,Helen Louise McDowell Sanctuary,1.65E+14,61.18207812,-149.8587406,,https://www.instagram.com/explore/locations/164806806912302
142,Tudor Bingo Center,7.05E+14,61.18008369,-149.8560904,"1436 E Tudor Rd, Anchorage, Alaska",https://www.instagram.com/explore/locations/704620219579580
143,Alaska Anchorage Seawolves,95865956018,61.19064,-149.81812,"3211 Providence Dr, Anchorage, AK",https://www.instagram.com/explore/locations/95865956018
144,Cornerstone Animal Hospital,1.44E+14,61.180308,-149.851425,"1600 E. Tudor Rd., Anchorage, Alaska",https://www.instagram.com/explore/locations/143938508973414
145,Bread & Brew Alaska,4.20E+14,61.18035381,-149.8538129,"1450 East Tudor Road, Suite 100, Anchorage, Alaska",https://www.instagram.com/explore/locations/419586951721711
146,Bazel Switzerland,6.77E+14,61.1925684,-149.8592595,,https://www.instagram.com/explore/locations/676746425689836
147,Madly Tattered,1.61E+15,61.18120035,-149.8553747,"1515 East Tudor Road Suite 6, Anchorage, Alaska",https://www.instagram.com/explore/locations/1605856846374480
148,SFC Primary Care Clinic,1.14E+14,61.18138024,-149.799755,4320 Diplomacy Dr,https://www.instagram.com/explore/locations/113993628698619
149,Alsaka Native Medical Hospital,1.54E+14,61.1827,-149.80009,4315 Diplomacy Drive,https://www.instagram.com/explore/locations/154100461290322
150,SCF Traditional Healing Clinic,1.73E+14,61.1815014,-149.8004449,,https://www.instagram.com/explore/locations/173215342778580
